Drug 1,Drug 2,Interaction Description,severity,desc_len
Tolazamide,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Tolazamide.,Moderada,92
Glimepiride,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Glimepiride.,Moderada,93
Repaglinide,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Repaglinide.,Moderada,78
Glyburide,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Glyburide.,Moderada,91
Bromocriptine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Bromocriptine.,Moderada,80
Seratrodast,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Seratrodast.,Moderada,78
Chloroquine,Fluconazole,Chloroquine may increase the QTc-prolonging activities of Fluconazole.,Moderada,70
Celecoxib,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Celecoxib.,Moderada,76
Salicylic acid,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Salicylic acid.,Moderada,81
Fluticasone propionate,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Fluticasone propionate.,Moderada,89
Magnesium sulfate,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Magnesium sulfate.,Moderada,99
Olopatadine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Olopatadine.,Moderada,78
Fluticasone furoate,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Fluticasone furoate.,Moderada,86
Prasterone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Prasterone.,Moderada,77
Estrone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Estrone.,Moderada,74
Ciclesonide,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ciclesonide.,Moderada,78
Cortisone acetate,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Cortisone acetate.,Moderada,84
Alclometasone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Alclometasone.,Moderada,80
Flunisolide,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Flunisolide.,Moderada,78
Triamcinolone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Triamcinolone.,Moderada,80
Paramethasone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Paramethasone.,Moderada,80
Deflazacort,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Deflazacort.,Moderada,78
Estrone sulfate,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Estrone sulfate.,Moderada,82
Budesonide,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Budesonide.,Moderada,92
Hydrocortisone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Hydrocortisone.,Moderada,81
Fluorometholone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Fluorometholone.,Moderada,82
Lumiracoxib,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Lumiracoxib.,Moderada,78
Tenoxicam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Tenoxicam.,Moderada,76
Etoricoxib,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Etoricoxib.,Moderada,77
Suprofen,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Suprofen.,Moderada,75
Flurbiprofen,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Flurbiprofen.,Moderada,79
Indomethacin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Indomethacin.,Moderada,79
Etodolac,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Etodolac.,Moderada,75
Apremilast,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Apremilast.,Moderada,77
Tolfenamic acid,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Tolfenamic acid.,Moderada,97
Lornoxicam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Lornoxicam.,Moderada,77
Parecoxib,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Parecoxib.,Moderada,91
Phenylbutazone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Phenylbutazone.,Moderada,81
Aceclofenac,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Aceclofenac.,Moderada,78
Zaltoprofen,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Zaltoprofen.,Moderada,78
Naproxen,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Naproxen.,Moderada,75
Pimecrolimus,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Pimecrolimus.,Moderada,79
Antipyrine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Antipyrine.,Moderada,77
Meloxicam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Meloxicam.,Moderada,76
Piroxicam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Piroxicam.,Moderada,76
Oxaprozin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Oxaprozin.,Moderada,76
Zileuton,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Zileuton.,Moderada,75
Ibuprofen,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ibuprofen.,Moderada,76
Diclofenac,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Diclofenac.,Moderada,92
Ketoprofen,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ketoprofen.,Moderada,77
Mefenamic acid,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Mefenamic acid.,Moderada,81
Ribociclib,Fluconazole,The risk or severity of QTc prolongation can be increased when Ribociclib is combined with Fluconazole.,Moderada,103
Theophylline,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Theophylline.,Moderada,79
Aminophylline,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Aminophylline.,Moderada,80
Quinidine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Quinidine.,Moderada,91
Lopinavir,Fluconazole,Lopinavir may increase the QTc-prolonging activities of Fluconazole.,Moderada,68
Ubidecarenone,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Ubidecarenone.,Moderada,95
Ranolazine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Ranolazine.,Moderada,92
Citalopram,Fluconazole,Citalopram may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Amiodarone,Fluconazole,Amiodarone may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Clarithromycin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Clarithromycin.,Moderada,81
Ziprasidone,Fluconazole,Ziprasidone may increase the QTc-prolonging activities of Fluconazole.,Moderada,70
Dronedarone,Fluconazole,Dronedarone may increase the QTc-prolonging activities of Fluconazole.,Moderada,70
Lumefantrine,Fluconazole,Lumefantrine may increase the QTc-prolonging activities of Fluconazole.,Moderada,71
Fluoxetine,Fluconazole,Fluoxetine may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Artemether,Fluconazole,Artemether may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Eliglustat,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Eliglustat.,Moderada,92
Saquinavir,Fluconazole,Saquinavir may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Lovastatin,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Lovastatin.,Moderada,92
Dihydroergotamine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Dihydroergotamine.,Moderada,84
Tetrabenazine,Fluconazole,Tetrabenazine may increase the QTc-prolonging activities of Fluconazole.,Moderada,72
Pimozide,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Pimozide.,Moderada,90
Asenapine,Fluconazole,Asenapine may increase the QTc-prolonging activities of Fluconazole.,Moderada,68
Quetiapine,Fluconazole,Quetiapine may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Iloperidone,Fluconazole,Iloperidone may increase the QTc-prolonging activities of Fluconazole.,Moderada,70
Paliperidone,Fluconazole,Paliperidone may increase the QTc-prolonging activities of Fluconazole.,Moderada,71
Flupentixol,Fluconazole,Flupentixol may increase the QTc-prolonging activities of Fluconazole.,Moderada,70
Zuclopenthixol,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Zuclopenthixol.,Moderada,96
Thioridazine,Fluconazole,Thioridazine may increase the QTc-prolonging activities of Fluconazole.,Moderada,71
Lisuride,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Lisuride.,Moderada,75
Ergometrine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ergometrine.,Moderada,78
Ergotamine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ergotamine.,Moderada,77
Pergolide,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Pergolide.,Moderada,76
Domperidone,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Domperidone.,Moderada,93
Dofetilide,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Dofetilide.,Moderada,92
Cisapride,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Cisapride.,Moderada,91
Telavancin,Fluconazole,Telavancin may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Bedaquiline,Fluconazole,Bedaquiline may increase the QTc-prolonging activities of Fluconazole.,Moderada,70
Ibutilide,Fluconazole,Ibutilide may increase the QTc-prolonging activities of Fluconazole.,Moderada,68
Propafenone,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Propafenone.,Moderada,93
Flecainide,Fluconazole,Flecainide may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Procainamide,Fluconazole,Procainamide may increase the QTc-prolonging activities of Fluconazole.,Moderada,71
Escitalopram,Fluconazole,Escitalopram may increase the QTc-prolonging activities of Fluconazole.,Moderada,71
Tacrolimus,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Tacrolimus.,Moderada,92
Rilpivirine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Rilpivirine.,Moderada,93
Pravastatin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Pravastatin.,Moderada,78
Simvastatin,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Simvastatin.,Moderada,93
Pitavastatin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Pitavastatin.,Moderada,79
Fluvastatin,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Fluvastatin.,Moderada,93
Rosuvastatin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Rosuvastatin.,Moderada,79
Tolvaptan,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Tolvaptan.,Moderada,91
Methadone,Fluconazole,Methadone may increase the QTc-prolonging activities of Fluconazole.,Moderada,68
Haloperidol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Haloperidol.,Moderada,78
Telithromycin,Fluconazole,Telithromycin may increase the QTc-prolonging activities of Fluconazole.,Moderada,72
Erythromycin,Fluconazole,Erythromycin may increase the QTc-prolonging activities of Fluconazole.,Moderada,71
Cyclosporine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Cyclosporine.,Moderada,94
Clozapine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Clozapine.,Moderada,76
Chlorpromazine,Fluconazole,Chlorpromazine may increase the QTc-prolonging activities of Fluconazole.,Moderada,73
Promazine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Promazine.,Moderada,76
Azithromycin,Fluconazole,Azithromycin may increase the QTc-prolonging activities of Fluconazole.,Moderada,71
Tizanidine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Tizanidine.,Moderada,92
Ondansetron,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ondansetron.,Moderada,78
Droperidol,Fluconazole,Droperidol may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Gadobenic acid,Fluconazole,Gadobenic acid may increase the QTc-prolonging activities of Fluconazole.,Moderada,73
Perflutren,Fluconazole,Perflutren may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Granisetron,Fluconazole,Granisetron may increase the QTc-prolonging activities of Fluconazole.,Moderada,70
Primaquine,Fluconazole,Primaquine may increase the QTc-prolonging activities of Fluconazole.,Moderada,69
Dolasetron,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Dolasetron.,Moderada,77
Caffeine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Caffeine.,Moderada,75
Thiamylal,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Thiamylal.,Moderada,76
Aprepitant,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Aprepitant.,Moderada,77
Methylphenobarbital,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Methylphenobarbital.,Moderada,86
Hexobarbital,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Hexobarbital.,Moderada,79
Tamsulosin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Tamsulosin.,Moderada,77
Alfuzosin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Alfuzosin.,Moderada,76
Cilostazol,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Cilostazol.,Moderada,92
Sevoflurane,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Sevoflurane.,Moderada,78
Selegiline,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Selegiline.,Moderada,77
Moclobemide,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Moclobemide.,Moderada,78
Vardenafil,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Vardenafil.,Moderada,92
Sildenafil,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Sildenafil.,Moderada,92
Tadalafil,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Tadalafil.,Moderada,91
Avanafil,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Avanafil.,Moderada,90
Udenafil,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Udenafil.,Moderada,75
Buprenorphine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Buprenorphine.,Moderada,80
Imipramine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Imipramine.,Moderada,77
Ropinirole,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ropinirole.,Moderada,77
Clomipramine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Clomipramine.,Moderada,79
Hydrocodone,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Hydrocodone.,Moderada,93
Ethylmorphine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ethylmorphine.,Moderada,80
Bupivacaine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Bupivacaine.,Moderada,78
Tapentadol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Tapentadol.,Moderada,77
Hydromorphone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Hydromorphone.,Moderada,80
Dextropropoxyphene,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Dextropropoxyphene.,Moderada,85
Halothane,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Halothane.,Moderada,76
Levobupivacaine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Levobupivacaine.,Moderada,82
Fentanyl,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Fentanyl.,Moderada,90
Meperidine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Meperidine.,Moderada,77
Propofol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Propofol.,Moderada,75
Ropivacaine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ropivacaine.,Moderada,78
Alfentanil,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Alfentanil.,Moderada,92
Sufentanil,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Sufentanil.,Moderada,77
Tramadol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Tramadol.,Moderada,75
Ketobemidone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ketobemidone.,Moderada,79
Oxymorphone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Oxymorphone.,Moderada,78
Codeine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Codeine.,Moderada,74
Aripiprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Aripiprazole.,Moderada,94
Levacetylmethadol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Levacetylmethadol.,Moderada,84
Morphine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Morphine.,Moderada,75
Dihydrocodeine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Dihydrocodeine.,Moderada,81
Ivabradine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Ivabradine.,Moderada,92
Indacaterol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Indacaterol.,Moderada,78
Salmeterol,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Salmeterol.,Moderada,92
Vilanterol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Vilanterol.,Moderada,77
Candesartan cilexetil,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Candesartan cilexetil.,Moderada,88
Cilnidipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Cilnidipine.,Moderada,93
Valsartan,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Valsartan.,Moderada,76
Rotigotine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Rotigotine.,Moderada,77
Formoterol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Formoterol.,Moderada,77
Arformoterol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Arformoterol.,Moderada,79
Olodaterol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Olodaterol.,Moderada,77
Doxazosin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Doxazosin.,Moderada,76
Epoprostenol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Epoprostenol.,Moderada,79
Isradipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Isradipine.,Moderada,92
Nicardipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Nicardipine.,Moderada,93
Nilvadipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Nilvadipine.,Moderada,93
Amlodipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Amlodipine.,Moderada,92
Bepridil,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Bepridil.,Moderada,90
Isosorbide dinitrate,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Isosorbide dinitrate.,Moderada,87
Nimodipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Nimodipine.,Moderada,92
Enalapril,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Enalapril.,Moderada,76
Lacidipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Lacidipine.,Moderada,92
Nisoldipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Nisoldipine.,Moderada,93
Phenoxybenzamine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Phenoxybenzamine.,Moderada,83
Lercanidipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Lercanidipine.,Moderada,95
Nitrendipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Nitrendipine.,Moderada,94
Efonidipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Efonidipine.,Moderada,93
Aliskiren,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Aliskiren.,Moderada,76
Pantoprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Pantoprazole.,Moderada,94
Dexlansoprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Dexlansoprazole.,Moderada,97
Lansoprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Lansoprazole.,Moderada,94
Esomeprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Esomeprazole.,Moderada,94
Rabeprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Rabeprazole.,Moderada,93
Omeprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Omeprazole.,Moderada,92
Apixaban,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Apixaban.,Moderada,90
Rivaroxaban,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Rivaroxaban.,Moderada,78
Argatroban,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Argatroban.,Moderada,77
Ximelagatran,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ximelagatran.,Moderada,79
Digoxin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Digoxin.,Moderada,74
Irbesartan,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Irbesartan.,Moderada,77
Treprostinil,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Treprostinil.,Moderada,79
Tasosartan,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Tasosartan.,Moderada,77
Desipramine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Desipramine.,Moderada,78
Ranitidine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ranitidine.,Moderada,77
Diphenhydramine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Diphenhydramine.,Moderada,82
Ritonavir,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ritonavir.,Moderada,76
Melatonin,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Melatonin.,Moderada,76
Flunarizine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Flunarizine.,Moderada,93
Risedronic acid,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Risedronic acid.,Moderada,97
Clevidipine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Clevidipine.,Moderada,93
Cinnarizine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Cinnarizine.,Moderada,93
Fosamprenavir,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Fosamprenavir.,Moderada,80
Clobazam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Clobazam.,Moderada,75
Tipranavir,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Tipranavir.,Moderada,92
Boceprevir,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Boceprevir.,Moderada,77
Modafinil,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Modafinil.,Moderada,76
Flibanserin,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Flibanserin.,Moderada,93
Felbamate,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Felbamate.,Moderada,76
Elvitegravir,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Elvitegravir.,Moderada,79
Amprenavir,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Amprenavir.,Moderada,77
Brigatinib,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Brigatinib.,Moderada,77
Ticlopidine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ticlopidine.,Moderada,78
Ticagrelor,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ticagrelor.,Moderada,77
Selexipag,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Selexipag.,Moderada,76
Prasugrel,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Prasugrel.,Moderada,76
Voriconazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Voriconazole.,Moderada,94
Itraconazole,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Itraconazole.,Moderada,79
Ketoconazole,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ketoconazole.,Moderada,79
Posaconazole,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Posaconazole.,Moderada,79
Efavirenz,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Efavirenz.,Moderada,76
Miconazole,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Miconazole.,Moderada,77
Terbinafine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Terbinafine.,Moderada,78
Oxiconazole,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Oxiconazole.,Moderada,78
Benzphetamine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Benzphetamine.,Moderada,80
Orphenadrine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Orphenadrine.,Moderada,79
Pregabalin,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Pregabalin.,Moderada,92
Prochlorperazine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Prochlorperazine.,Moderada,83
Suvorexant,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Suvorexant.,Moderada,92
Ethanol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ethanol.,Moderada,74
Zolpidem,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Zolpidem.,Moderada,90
Mirtazapine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Mirtazapine.,Moderada,78
Meprobamate,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Meprobamate.,Moderada,78
Estazolam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Estazolam.,Moderada,76
Trazodone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Trazodone.,Moderada,76
Buspirone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Buspirone.,Moderada,76
Clorazepic acid,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Clorazepic acid.,Moderada,82
Alprazolam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Alprazolam.,Moderada,77
Chlorzoxazone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Chlorzoxazone.,Moderada,80
Cocaine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Cocaine.,Moderada,74
Flurazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Flurazepam.,Moderada,77
Ketamine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ketamine.,Moderada,75
Lamotrigine,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Lamotrigine.,Moderada,93
Sertindole,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Sertindole.,Moderada,77
Triazolam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Triazolam.,Moderada,76
Perospirone,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Perospirone.,Moderada,78
Vortioxetine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Vortioxetine.,Moderada,79
Nortriptyline,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Nortriptyline.,Moderada,80
Cyclobenzaprine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Cyclobenzaprine.,Moderada,82
Gabapentin,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Gabapentin.,Moderada,92
Temazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Temazepam.,Moderada,76
Ketazolam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Ketazolam.,Moderada,76
Diazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Diazepam.,Moderada,75
Perphenazine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Perphenazine.,Moderada,79
Flunitrazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Flunitrazepam.,Moderada,80
Carisoprodol,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Carisoprodol.,Moderada,79
Loratadine,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Loratadine.,Moderada,77
Zaleplon,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Zaleplon.,Moderada,75
Valproic acid,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Valproic acid.,Moderada,80
Nitrazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Nitrazepam.,Moderada,77
Quazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Quazepam.,Moderada,75
Oxazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Oxazepam.,Moderada,75
Etizolam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Etizolam.,Moderada,75
Bromazepam,Fluconazole,The metabolism of Fluconazole can be decreased when combined with Bromazepam.,Moderada,77
